question,saved_filename,color
"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",Q1_img1_Red.png,Red
"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",Q1_img2_Saddlebrown.png,Saddlebrown
"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",Q1_img3_Lightgray.png,Lightgray
"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",Q1_img4_Lightpink.png,Lightpink
"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",Q1_img5_Navy.png,Navy
"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",Q1_img6_Tomato.png,Tomato
"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",Q1_img7_Black.png,Black
"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",Q1_img8_Mediumvioletred.png,Mediumvioletred
"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",Q1_img9_Chartreuse.png,Chartreuse
"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",Q1_img10_Burlywood.png,Burlywood
"What was the average price of a pound of coffee beans in September 2013? Options: $4.9, $5.0, $5.1, $5.2, Omit",Q201_img1_Red.png,Red
"What was the average price of a pound of coffee beans in September 2013? Options: $4.9, $5.0, $5.1, $5.2, Omit",Q201_img2_Saddlebrown.png,Saddlebrown
"What was the average price of a pound of coffee beans in September 2013? Options: $4.9, $5.0, $5.1, $5.2, Omit",Q201_img3_Lightgray.png,Lightgray
"What was the average price of a pound of coffee beans in September 2013? Options: $4.9, $5.0, $5.1, $5.2, Omit",Q201_img4_Lightpink.png,Lightpink
"What was the average price of a pound of coffee beans in September 2013? Options: $4.9, $5.0, $5.1, $5.2, Omit",Q201_img5_Navy.png,Navy
"What was the average price of a pound of coffee beans in September 2013? Options: $4.9, $5.0, $5.1, $5.2, Omit",Q201_img6_Tomato.png,Tomato
"What was the average price of a pound of coffee beans in September 2013? Options: $4.9, $5.0, $5.1, $5.2, Omit",Q201_img7_Black.png,Black
"What was the average price of a pound of coffee beans in September 2013? Options: $4.9, $5.0, $5.1, $5.2, Omit",Q201_img8_Mediumvioletred.png,Mediumvioletred
"What was the average price of a pound of coffee beans in September 2013? Options: $4.9, $5.0, $5.1, $5.2, Omit",Q201_img9_Chartreuse.png,Chartreuse
"What was the average price of a pound of coffee beans in September 2013? Options: $4.9, $5.0, $5.1, $5.2, Omit",Q201_img10_Burlywood.png,Burlywood
