question,row_count
"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",40
"About what was the ratio of the number of girls named ‘Olivia’ to those named ‘Isla’ in 2014 in the UK? Options: 1 to 1, 1 to 2, 1 to 3, 1 to 4, Omit",40
"For how many months was the average price of a pound of coffee beans cheaper than that in December 2013? Options: 3 months, 4 months, 5 months, 6 months, Omit ",40
"In the UK, the number of girls named ‘Amelia’ in 2014 was more than it was in 2013. Options: True, False, Omit",40
"In which month was the price of a barrel of oil the lowest in 2015? Options: March, May, July,December, Omit",40
"Over the course of 2013, the average price of a pound of coffee beans was ____________. Options: rising, falling, staying, Omit",40
"Over the course of the second half of 2015, the price of a barrel of oil was ____________. Options: rising, falling, staying, Omit",40
"Over the course of years between 2009 and 2014, the number of girls named ‘Isla’ was always more than ‘Olivia’. Options: True, False, Omit",40
"Over the course of years between 2009 and 2014, what was the range of the number of girls named ‘Olivia’? Options: 1200-4700, 1200-8700, 1800-4000, 3000-8700The number of girls named ‘Isla’ was __________ from 2009 to 2012. Options: rising, falling, staying, Omit",40
"Over the course of years between 2009 and 2014, when was the number of girls named ‘Amelia’ at the maximum? Options: 2009, 2011, 2012, 2014, Omit",40
"What was the average price of a pound of coffee beans in September 2013? Options: $4.9, $5.0, $5.1, $5.2, Omit",40
"What was the number of girls named ‘Amelia’ in 2010 in the UK? Options: 1,500, 3,800, 4,200, 8,000, Omit",40
"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",40
"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit",40
"What was the range of the average price of a pound of coffee beans between January 2013 and December 2014? Options: $4.4 - $6.2, $4.6 - $5.9, $4.6 - $6.0, $4.6 - $6.1, Omit",40
"When was the average price of a pound of coffee beans at minimum? Options: April 2013, September 2013, June 2014, December 2014, Omit",40
