question,saved_filename,color
"In which month was the price of a barrel of oil the lowest in 2015? Options: March, May, July,December, Omit",Q41_img1_Red.png,Red
"In which month was the price of a barrel of oil the lowest in 2015? Options: March, May, July,December, Omit",Q41_img2_Saddlebrown.png,Saddlebrown
"In which month was the price of a barrel of oil the lowest in 2015? Options: March, May, July,December, Omit",Q41_img3_Lightgray.png,Lightgray
"In which month was the price of a barrel of oil the lowest in 2015? Options: March, May, July,December, Omit",Q41_img4_Lightpink.png,Lightpink
"In which month was the price of a barrel of oil the lowest in 2015? Options: March, May, July,December, Omit",Q41_img5_Navy.png,Navy
"In which month was the price of a barrel of oil the lowest in 2015? Options: March, May, July,December, Omit",Q41_img6_Tomato.png,Tomato
"In which month was the price of a barrel of oil the lowest in 2015? Options: March, May, July,December, Omit",Q41_img7_Black.png,Black
"In which month was the price of a barrel of oil the lowest in 2015? Options: March, May, July,December, Omit",Q41_img8_Mediumvioletred.png,Mediumvioletred
"In which month was the price of a barrel of oil the lowest in 2015? Options: March, May, July,December, Omit",Q41_img9_Chartreuse.png,Chartreuse
"In which month was the price of a barrel of oil the lowest in 2015? Options: March, May, July,December, Omit",Q41_img10_Burlywood.png,Burlywood
"When was the average price of a pound of coffee beans at minimum? Options: April 2013, September 2013, June 2014, December 2014, Omit",Q241_img1_Red.png,Red
"When was the average price of a pound of coffee beans at minimum? Options: April 2013, September 2013, June 2014, December 2014, Omit",Q241_img2_Saddlebrown.png,Saddlebrown
"When was the average price of a pound of coffee beans at minimum? Options: April 2013, September 2013, June 2014, December 2014, Omit",Q241_img3_Lightgray.png,Lightgray
"When was the average price of a pound of coffee beans at minimum? Options: April 2013, September 2013, June 2014, December 2014, Omit",Q241_img4_Lightpink.png,Lightpink
"When was the average price of a pound of coffee beans at minimum? Options: April 2013, September 2013, June 2014, December 2014, Omit",Q241_img5_Navy.png,Navy
"When was the average price of a pound of coffee beans at minimum? Options: April 2013, September 2013, June 2014, December 2014, Omit",Q241_img6_Tomato.png,Tomato
"When was the average price of a pound of coffee beans at minimum? Options: April 2013, September 2013, June 2014, December 2014, Omit",Q241_img7_Black.png,Black
"When was the average price of a pound of coffee beans at minimum? Options: April 2013, September 2013, June 2014, December 2014, Omit",Q241_img8_Mediumvioletred.png,Mediumvioletred
"When was the average price of a pound of coffee beans at minimum? Options: April 2013, September 2013, June 2014, December 2014, Omit",Q241_img9_Chartreuse.png,Chartreuse
"When was the average price of a pound of coffee beans at minimum? Options: April 2013, September 2013, June 2014, December 2014, Omit",Q241_img10_Burlywood.png,Burlywood
