Index,Image,Question Type,Prompt,Question Description,Model Name,Color,Chart Title,Image Path,Ground Truth,Prediction,Answer Time
line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png_run1,line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,black,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png,$37.04 - $60.95,$37.04 - $60.95,11.53
line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png_run2,line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,black,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png,$37.04 - $60.95,$37.04 - $60.95,13.21
line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png_run3,line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,black,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png,$37.04 - $60.95,$37.04 - $60.95,12.41
line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png_run4,line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,black,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png,$37.04 - $60.95,$37.04 - $60.95,13.64
line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png_run5,line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,black,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_black.png,$37.04 - $60.95,$37.04 - $60.95,15.06
line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png_run1,line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,burlywood,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png,$37.04 - $60.95,$37.04 - $60.95,13.01
line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png_run2,line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,burlywood,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png,$37.04 - $60.95,$37.04 - $60.95,14.66
line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png_run3,line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,burlywood,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png,$37.04 - $60.95,$37.04 - $60.95,11.48
line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png_run4,line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,burlywood,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png,$37.04 - $60.95,$37.04 - $60.95,15.99
line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png_run5,line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,burlywood,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_burlywood.png,$37.04 - $60.95,$37.04 - $60.95,12.1
line_data.csv_line_Monthly_Oil_Price_History_in_2015_chartreuse.png_run1,line_data.csv_line_Monthly_Oil_Price_History_in_2015_chartreuse.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,chartreuse,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_chartreuse.png,$37.04 - $60.95,$37.04 - $60.95,12.51
line_data.csv_line_Monthly_Oil_Price_History_in_2015_chartreuse.png_run2,line_data.csv_line_Monthly_Oil_Price_History_in_2015_chartreuse.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,chartreuse,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_chartreuse.png,$37.04 - $60.95,$37.04 - $60.95,12.2
line_data.csv_line_Monthly_Oil_Price_History_in_2015_chartreuse.png_run3,line_data.csv_line_Monthly_Oil_Price_History_in_2015_chartreuse.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,chartreuse,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_chartreuse.png,$37.04 - $60.95,$37.04 - $60.95,14.76
line_data.csv_line_Monthly_Oil_Price_History_in_2015_chartreuse.png_run4,line_data.csv_line_Monthly_Oil_Price_History_in_2015_chartreuse.png,Determine_Range,"What was the price range of a barrel of oil in 2015? Options: $35 - $65, $48.36 - $60.95, $37.04 - $48.36, $37.04 - $60.95, Omit. Choose only one option as the answer without explanation.",What was the price range of a barrel of oil in 2015?,gemini-2.5-pro,chartreuse,Monthly Oil Price History in 2015,C:\Users\kanam\OneDrive\Desktop\Visualization_Literacy\Visualization_Literacy\Avanith\Test\line_data.csv_line_Monthly_Oil_Price_History_in_2015_chartreuse.png,$37.04 - $60.95,$37.04 - $60.95,10.56
