Index,Question Type,Question Description,Prompt,Model Name,Chart Title,Color,Image Path,Ground Truth,Prediction,Answer Time
Q1_img1_run1,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Burlywood,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img10_Burlywood.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by $4, $15, $17, and $45. The correct option is $15.",88.97
Q1_img1_run2,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Burlywood,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img10_Burlywood.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by $4, $15, $17, and $45. The correct option is $15.",89.48
Q1_img1_run3,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Burlywood,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img10_Burlywood.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by $4, $15, $17, and $45. The correct option is $15.",89.28
Q1_img1_run4,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Burlywood,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img10_Burlywood.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by $4, $15, $17, and $45. The correct option is $15.",89.19
Q1_img2_run1,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Red,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img1_Red.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by $4, $15, $17, and $45. The correct option is $15.",89.79
Q1_img2_run2,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Red,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img1_Red.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by $4, $15, $17, and $45. The correct option is $15.",90.14
Q1_img2_run3,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Red,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img1_Red.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by $4, $15, $17, and $45. The correct option is $15.",89.84
Q1_img2_run4,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Red,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img1_Red.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by $4, $15, $17, and $45. The correct option is $15.",89.96
Q1_img3_run1,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Saddlebrown,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img2_Saddlebrown.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The chart shows that the price of a barrel of oil fell from April to September in 2015. The correct option is $4.",83.98
Q1_img3_run2,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Saddlebrown,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img2_Saddlebrown.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The chart shows that the price of a barrel of oil fell from April to September in 2015. The correct option is $4.",83.71
Q1_img3_run3,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Saddlebrown,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img2_Saddlebrown.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The chart shows that the price of a barrel of oil fell from April to September in 2015. The correct option is $4.",83.31
Q1_img3_run4,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Saddlebrown,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img2_Saddlebrown.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The chart shows that the price of a barrel of oil fell from April to September in 2015. The correct option is $4.",83.39
Q1_img4_run1,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Lightgray,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img3_Lightgray.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by approximately $17. Omit $45.",83.74
Q1_img4_run2,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Lightgray,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img3_Lightgray.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by approximately $17. Omit $45.",83.25
Q1_img4_run3,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Lightgray,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img3_Lightgray.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by approximately $17. Omit $45.",83.8
Q1_img4_run4,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Lightgray,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img3_Lightgray.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by approximately $17. Omit $45.",83.25
Q1_img5_run1,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Lightpink,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img4_Lightpink.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by $4, $15, $17, and $45. The correct option is $15.",90.22
Q1_img5_run2,Make Comparisons,"Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?","<image> Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?",ChartGemma-2.92B,Monthly Oil Prices in 2015,Lightpink,/hpcstor6/scratch01/h/huuthanhvy.nguyen001/Visualization_Literacy/line_chart_dataset/grouped_by_type/Make_Comparisons/Q1_img4_Lightpink.png,$15," Look at each month carefully. About how much did the price of a barrel of oil fall from April to September in 2015? Which option is correct $4, $15, $17, $45, Omit?
The price of a barrel of oil fell from April to September in 2015 by $4, $15, $17, and $45. The correct option is $15.",90.28
