Image,Run,Prediction,Answer Time (s),Correct?
Q1_img10_Burlywood.png,1,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",92.54,Correct
Q1_img10_Burlywood.png,2,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",96.85,Correct
Q1_img10_Burlywood.png,3,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",101.06,Correct
Q1_img10_Burlywood.png,4,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",96.22,Correct
Q1_img10_Burlywood.png,5,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",102.12,Correct
Q1_img1_Red.png,1,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",101.95,Correct
Q1_img1_Red.png,2,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",95.21,Correct
Q1_img1_Red.png,3,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",93.34,Correct
Q1_img1_Red.png,4,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",96.91,Correct
Q1_img1_Red.png,5,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",95.67,Correct
Q1_img2_Saddlebrown.png,1,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",88.79,Correct
Q1_img2_Saddlebrown.png,2,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",86.57,Correct
Q1_img2_Saddlebrown.png,3,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",85.39,Correct
Q1_img2_Saddlebrown.png,4,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",92.51,Correct
Q1_img2_Saddlebrown.png,5,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",88.62,Correct
Q1_img3_Lightgray.png,1,"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit. Answer only.
$45",89.04,Correct
