question,saved_filename,color
"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Q161_img1_Red.png,Red
"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Q161_img2_Saddlebrown.png,Saddlebrown
"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Q161_img3_Lightgray.png,Lightgray
"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Q161_img4_Lightpink.png,Lightpink
"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Q161_img5_Navy.png,Navy
"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Q161_img6_Tomato.png,Tomato
"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Q161_img7_Black.png,Black
"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Q161_img8_Mediumvioletred.png,Mediumvioletred
"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Q161_img9_Chartreuse.png,Chartreuse
"About how much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Q161_img10_Burlywood.png,Burlywood
"For how many months was the average price of a pound of coffee beans cheaper than that in December 2013? Options: 3 months, 4 months, 5 months, 6 months, Omit ",Q361_img1_Red.png,Red
"For how many months was the average price of a pound of coffee beans cheaper than that in December 2013? Options: 3 months, 4 months, 5 months, 6 months, Omit ",Q361_img2_Saddlebrown.png,Saddlebrown
"For how many months was the average price of a pound of coffee beans cheaper than that in December 2013? Options: 3 months, 4 months, 5 months, 6 months, Omit ",Q361_img3_Lightgray.png,Lightgray
"For how many months was the average price of a pound of coffee beans cheaper than that in December 2013? Options: 3 months, 4 months, 5 months, 6 months, Omit ",Q361_img4_Lightpink.png,Lightpink
"For how many months was the average price of a pound of coffee beans cheaper than that in December 2013? Options: 3 months, 4 months, 5 months, 6 months, Omit ",Q361_img5_Navy.png,Navy
"For how many months was the average price of a pound of coffee beans cheaper than that in December 2013? Options: 3 months, 4 months, 5 months, 6 months, Omit ",Q361_img6_Tomato.png,Tomato
"For how many months was the average price of a pound of coffee beans cheaper than that in December 2013? Options: 3 months, 4 months, 5 months, 6 months, Omit ",Q361_img7_Black.png,Black
"For how many months was the average price of a pound of coffee beans cheaper than that in December 2013? Options: 3 months, 4 months, 5 months, 6 months, Omit ",Q361_img8_Mediumvioletred.png,Mediumvioletred
"For how many months was the average price of a pound of coffee beans cheaper than that in December 2013? Options: 3 months, 4 months, 5 months, 6 months, Omit ",Q361_img9_Chartreuse.png,Chartreuse
"For how many months was the average price of a pound of coffee beans cheaper than that in December 2013? Options: 3 months, 4 months, 5 months, 6 months, Omit ",Q361_img10_Burlywood.png,Burlywood
