,dataset,question,answer,question_type,referential_title,filename,dataset_100_stacked_bar_data.csv,dataset_area_data.csv,dataset_bar_data.csv,dataset_histogram_data.csv,dataset_line_data.csv,dataset_pie_data.csv,dataset_scatterplot_data.csv,dataset_stacked_area_data.csv,dataset_stacked_bar_data.csv,plot_type_bar,plot_type_hist,plot_type_line,plot_type_pie,plot_type_scatter,plot_type_stacked_bar,plot_type_stacked_bar_100,color_black,color_burlywood,color_chartreuse,color_lightgray,color_lightpink,color_mediumvioletred,color_navy,color_red,color_saddlebrown,color_tomato
0,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_red.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_red.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_saddlebrown.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_saddlebrown.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_lightgray.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_lightgray.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_lightpink.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
7,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_lightpink.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
8,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_navy.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_navy.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_tomato.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_tomato.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_black.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_black.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
14,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_mediumvioletred.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
15,line_data.csv,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit",$50.24,Retrieve Value,1,line_data.csv_line_Oil_Prices_Spike_Between_April_and_June_mediumvioletred.png,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
