Image,Run,Prompt,Chart Title,Question Type,Ground Truth,Model Name,Prediction,Answer Time (s),Correct
Q1_img10_Burlywood.png,1,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",345.52,Correct
Q1_img10_Burlywood.png,2,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",363.29,Correct
Q1_img10_Burlywood.png,3,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",391.34,Correct
Q1_img10_Burlywood.png,4,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",381.04,Correct
Q1_img10_Burlywood.png,5,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",347.41,Correct
Q1_img1_Red.png,1,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",384.43,Correct
Q1_img1_Red.png,2,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",387.12,Correct
Q1_img1_Red.png,3,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",379.06,Correct
Q1_img1_Red.png,4,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",333.93,Correct
Q1_img1_Red.png,5,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",338.87,Correct
Q1_img2_Saddlebrown.png,1,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",335.22,Correct
Q1_img2_Saddlebrown.png,2,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",331.92,Correct
